Cohort,Race,Lactate,OR,2.50%,97.50%,N
MIMIC,Black,0-2,0.94,0.84,1.04,695
MIMIC,Black,2-4,1.1,1.01,1.19,560
MIMIC,Black,4-6,1.31,1.13,1.4,195
MIMIC,Black,>6,1.03,0.84,1.26,184
MIMIC,White,0-2,1.04,1.02,1.07,5490
MIMIC,White,2-4,1.01,0.99,1.02,4937
MIMIC,White,4-6,1.01,0.99,1.02,1231
MIMIC,White,>6,1.1,1.07,1.17,995
MIMIC,Asian,0-2,1.14,1,1.32,177
MIMIC,Asian,2-4,1.11,0.94,1.34,205
MIMIC,Asian,4-6,1.12,0.92,1.38,75
MIMIC,Asian,>6,0.98,0.85,1.16,70
MIMIC,Hispanic,0-2,0.87,0.72,1.11,227
MIMIC,Hispanic,2-4,1.34,1.1,1.58,255
MIMIC,Hispanic,4-6,1.31,1.08,1.54,96
MIMIC,Hispanic,>6,0.95,0.81,1.08,73
