"","outcome","tx_demographic","OR","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights","SOFA"
"1","lactate_day1_yes_no","Black","1.15329133421644","1.0365791758252","1.28314453212884","0.00879367876137344","18150","SL.glm SL.mean","0.975345870804821 0.0246541291951787","0.957072423622727 0.0429275763772732","0 - 22"
"2","lactate_day1_yes_no","Black","1.02886700172666","0.858937914705771","1.23241422822117","0.757328407342639","4929","SL.glm SL.mean","0.935927201947889 0.0640727980521106","0.884603193179782 0.115396806820218","0 - 3"
"3","lactate_day1_yes_no","Black","1.21615468683193","1.02071970354371","1.44900918162783","0.0285644844406365","6757","SL.glm SL.mean","0.926887612782285 0.0731123872177146","0.876817811052541 0.123182188947459","4 - 6"
"4","lactate_day1_yes_no","Black","1.1761919033797","0.891600812996136","1.55162195167486","0.250886323687611","6464","SL.glm SL.mean","0.864392308208668 0.135607691791332","0.921548275455133 0.0784517245448666","7 - 22"
"5","lactate_day1_yes_no","Asian","1.02113239406139","0.893459428912875","1.16704948479897","0.758940347213123","16763","SL.glm SL.mean","0.977870916032295 0.0221290839677054","0.707754430557979 0.292245569442021","0 - 22"
"6","lactate_day1_yes_no","Asian","1.11271077883407","0.962693262932864","1.28610568392424","0.148337588397707","4586","SL.glm SL.mean","0.939914295876364 0.0600857041236359","0.902538447078198 0.0974615529218023","0 - 3"
"7","lactate_day1_yes_no","Asian","0.905639843187703","0.782772714523761","1.04779268662685","0.18272970706167","6269","SL.glm SL.mean","0.922631219996715 0.0773687800032845","0.881341259023929 0.118658740976071","4 - 6"
"8","lactate_day1_yes_no","Asian","0.760534218272163","0.556253883016241","1.03983507319797","0.0863022472186476","5908","SL.glm SL.mean","0.874193417751645 0.125806582248355","0.43089322735482 0.56910677264518","7 - 22"
"9","lactate_day1_yes_no","Hispanic","0.906822317754034","0.829523867574624","0.991323755856636","0.0314208169313373","16918","SL.glm SL.mean","0.97625181321681 0.0237481867831901","0.937397579811889 0.0626024201881114","0 - 22"
"10","lactate_day1_yes_no","Hispanic","1.02047503086674","0.879485561929443","1.18406638346385","0.789332034495585","4640","SL.glm SL.mean","0.927277921226149 0.0727220787738513","0.897628903453421 0.102371096546579","0 - 3"
"11","lactate_day1_yes_no","Hispanic","0.816379185886189","0.706279545376135","0.943641904273555","0.00605421298416469","6358","SL.glm SL.mean","0.915535211038136 0.0844647889618635","0.927206989654035 0.0727930103459646","4 - 6"
"12","lactate_day1_yes_no","Hispanic","0.824790684689964","0.641519705567706","1.06041898268633","0.132985050507234","5920","SL.glm SL.mean","0.844235438357046 0.155764561642954","0.900973378908479 0.0990266210915215","7 - 22"
